date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:03	66285/66285	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/home-hero-slideshow.html	(from )
13:35:03	0/0	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20May%202024%2008:05:01%20GMT	https://themes247.net/robots.txt		(from )
13:35:03	1093/1093	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/assets/icon/favicon.png	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/assets/icon/favicon.png	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:04	1361/1361	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/assets/icon/apple-touch-icon-158-precomposed.png	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/assets/icon/apple-touch-icon-158-precomposed.png	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:04	73437/73437	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/style.css	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/style.css	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:05	2076/2076	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/assets/img/logo-light.png	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/assets/img/logo-light.png	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:05	76286/76286	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/home-slider-full-screen.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/home-slider-full-screen.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:07	75303/75303	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/home-slider-simple.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/home-slider-simple.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:07	64820/64820	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/home-hero-slideshow-2.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/home-hero-slideshow-2.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:07	63270/63270	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/home-header-fixed.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/home-header-fixed.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:08	23889/23889	---M--	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202023%2002:32:09%20GMT	https://themes247.net/html5/construction-template/demo/page-contact.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/page-contact.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:08	63755/63755	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/home-3-hero-slideshow.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/home-3-hero-slideshow.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:09	72862/72862	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/home-2-slider-simple.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/home-2-slider-simple.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:09	37731/37731	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/page-about-2.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/page-about-2.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:09	44846/44846	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/page-about.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/page-about.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:09	25460/25460	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/page-services.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/page-services.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:09	33248/33248	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/page-services-2.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/page-services-2.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:10	28597/28597	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/page-service-detail.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/page-service-detail.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:10	32681/32681	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/page-shop.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/page-shop.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
13:35:10	33277/33277	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/page-shop-single.html	C:/My%20Web%20Sites/Construction%20Website/themes247.net/html5/construction-template/demo/page-shop-single.html	(from https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html)
